,Buying,Maintenance,Doors,Person,lug_boot,safety,class
124,4,3,2,4,1,3,unacc
125,4,3,2,4,2,1,unacc
126,4,3,2,4,2,2,unacc
127,4,3,2,4,2,3,unacc
128,4,3,2,4,3,1,unacc
129,4,3,2,4,3,2,unacc
130,4,3,2,4,3,3,unacc
131,4,3,2,6,1,1,unacc
132,4,3,2,6,1,2,unacc
133,4,3,2,6,1,3,unacc
134,4,3,2,6,2,1,unacc
135,4,3,2,6,2,2,unacc
136,4,3,2,6,2,3,unacc
137,4,3,2,6,3,1,unacc
138,4,3,2,6,3,2,unacc
139,4,3,2,6,3,3,unacc
140,4,3,3,2,1,1,unacc
141,4,3,3,2,1,2,unacc
142,4,3,3,2,1,3,unacc
143,4,3,3,2,2,1,unacc
144,4,3,3,2,2,2,unacc
145,4,3,3,2,2,3,unacc
146,4,3,3,2,3,1,unacc
147,4,3,3,2,3,2,unacc
148,4,3,3,2,3,3,unacc
149,4,3,3,4,1,1,unacc
150,4,3,3,4,1,2,unacc
151,4,3,3,4,1,3,unacc
152,4,3,3,4,2,1,unacc
153,4,3,3,4,2,2,unacc
154,4,3,3,4,2,3,unacc
155,4,3,3,4,3,1,unacc
156,4,3,3,4,3,2,unacc
157,4,3,3,4,3,3,unacc
158,4,3,3,6,1,1,unacc
159,4,3,3,6,1,2,unacc
160,4,3,3,6,1,3,unacc
161,4,3,3,6,2,1,unacc
162,4,3,3,6,2,2,unacc
163,4,3,3,6,2,3,unacc
164,4,3,3,6,3,1,unacc
165,4,3,3,6,3,2,unacc
166,4,3,3,6,3,3,unacc
167,4,3,4,2,1,1,unacc
168,4,3,4,2,1,2,unacc
169,4,3,4,2,1,3,unacc
170,4,3,4,2,2,1,unacc
171,4,3,4,2,2,2,unacc
172,4,3,4,2,2,3,unacc
173,4,3,4,2,3,1,unacc
174,4,3,4,2,3,2,unacc
175,4,3,4,2,3,3,unacc
176,4,3,4,4,1,1,unacc
177,4,3,4,4,1,2,unacc
178,4,3,4,4,1,3,unacc
179,4,3,4,4,2,1,unacc
180,4,3,4,4,2,2,unacc
181,4,3,4,4,2,3,unacc
182,4,3,4,4,3,1,unacc
183,4,3,4,4,3,2,unacc
184,4,3,4,4,3,3,unacc
185,4,3,4,6,1,1,unacc
186,4,3,4,6,1,2,unacc
187,4,3,4,6,1,3,unacc
188,4,3,4,6,2,1,unacc
189,4,3,4,6,2,2,unacc
190,4,3,4,6,2,3,unacc
191,4,3,4,6,3,1,unacc
192,4,3,4,6,3,2,unacc
193,4,3,4,6,3,3,unacc
194,4,3,5,2,1,1,unacc
195,4,3,5,2,1,2,unacc
196,4,3,5,2,1,3,unacc
197,4,3,5,2,2,1,unacc
198,4,3,5,2,2,2,unacc
199,4,3,5,2,2,3,unacc
200,4,3,5,2,3,1,unacc
201,4,3,5,2,3,2,unacc
202,4,3,5,2,3,3,unacc
203,4,3,5,4,1,1,unacc
204,4,3,5,4,1,2,unacc
205,4,3,5,4,1,3,unacc
206,4,3,5,4,2,1,unacc
207,4,3,5,4,2,2,unacc
208,4,3,5,4,2,3,unacc
209,4,3,5,4,3,1,unacc
210,4,3,5,4,3,2,unacc
211,4,3,5,4,3,3,unacc
212,4,3,5,6,1,1,unacc
213,4,3,5,6,1,2,unacc
214,4,3,5,6,1,3,unacc
215,4,3,5,6,2,1,unacc
216,4,3,5,6,2,2,unacc
217,4,3,5,6,2,3,unacc
218,4,3,5,6,3,1,unacc
219,4,3,5,6,3,2,unacc
220,4,3,5,6,3,3,unacc
221,4,2,2,2,1,1,unacc
222,4,2,2,2,1,2,unacc
223,4,2,2,2,1,3,unacc
224,4,2,2,2,2,1,unacc
225,4,2,2,2,2,2,unacc
226,4,2,2,2,2,3,unacc
227,4,2,2,2,3,1,unacc
228,4,2,2,2,3,2,unacc
229,4,2,2,2,3,3,unacc
230,4,2,2,4,1,1,unacc
231,4,2,2,4,1,2,unacc
232,4,2,2,4,1,3,acc
233,4,2,2,4,2,1,unacc
234,4,2,2,4,2,2,unacc
235,4,2,2,4,2,3,acc
236,4,2,2,4,3,1,unacc
237,4,2,2,4,3,2,acc
238,4,2,2,4,3,3,acc
239,4,2,2,6,1,1,unacc
240,4,2,2,6,1,2,unacc
241,4,2,2,6,1,3,unacc
242,4,2,2,6,2,1,unacc
243,4,2,2,6,2,2,unacc
244,4,2,2,6,2,3,acc
245,4,2,2,6,3,1,unacc
246,4,2,2,6,3,2,acc
247,4,2,2,6,3,3,acc
248,4,2,2,6,3,2,acc
249,4,2,2,6,3,3,acc
250,4,2,3,2,1,1,unacc
251,4,2,3,2,1,2,unacc
252,4,2,3,2,1,3,unacc
253,4,2,3,2,2,1,unacc
254,4,2,3,2,2,2,unacc
255,4,2,3,2,2,3,unacc
256,4,2,3,2,3,1,unacc
257,4,2,3,2,3,2,unacc
258,4,2,3,2,3,3,unacc
259,4,2,3,4,1,1,unacc
260,4,2,3,4,1,2,unacc
261,4,2,3,4,1,3,acc
262,4,2,3,4,2,1,unacc
263,4,2,3,4,2,2,unacc
264,4,2,3,4,2,3,acc
265,4,2,3,4,3,1,unacc
266,4,2,3,4,3,2,acc
267,4,2,3,4,3,3,acc
268,4,2,3,6,1,1,unacc
269,4,2,3,6,1,2,unacc
270,4,2,3,6,1,3,acc
271,4,2,3,6,2,1,unacc
272,4,2,3,6,2,2,acc
273,4,2,3,6,2,3,acc
274,4,2,3,6,3,1,unacc
275,4,2,3,6,3,2,acc
276,4,2,3,6,3,3,acc
277,4,2,4,2,1,1,unacc
278,4,2,4,2,1,2,unacc
279,4,2,4,2,1,3,unacc
280,4,2,4,2,2,1,unacc
281,4,2,4,2,2,2,unacc
282,4,2,4,2,2,3,unacc
283,4,2,4,2,3,1,unacc
284,4,2,4,2,3,2,unacc
285,4,2,4,2,3,3,unacc
286,4,2,4,4,1,1,unacc
287,4,2,4,4,1,2,unacc
288,4,2,4,4,1,3,acc
289,4,2,4,4,2,1,unacc
290,4,2,4,4,2,2,acc
291,4,2,4,4,2,3,acc
292,4,2,4,4,3,1,unacc
293,4,2,4,4,3,2,acc
294,4,2,4,4,3,3,acc
295,4,2,4,6,1,1,unacc
296,4,2,4,6,1,2,unacc
297,4,2,4,6,1,3,acc
298,4,2,4,6,2,1,unacc
299,4,2,4,6,2,2,acc
300,4,2,4,6,2,3,acc
301,4,2,4,6,3,1,unacc
302,4,2,4,6,3,2,acc
303,4,2,4,6,3,3,acc
304,4,2,5,2,1,1,unacc
305,4,2,5,2,1,2,unacc
306,4,2,5,2,1,3,unacc
307,4,2,5,2,2,1,unacc
308,4,2,5,2,2,2,unacc
309,4,2,5,2,2,3,unacc
310,4,2,5,2,3,1,unacc
311,4,2,5,2,3,2,unacc
312,4,2,5,2,3,3,unacc
313,4,2,5,4,1,1,unacc
314,4,2,5,4,1,2,unacc
315,4,2,5,4,1,3,acc
316,4,2,5,4,2,1,unacc
317,4,2,5,4,2,2,acc
318,4,2,5,4,2,3,acc
319,4,2,5,4,3,1,unacc
320,4,2,5,4,3,2,acc
321,4,2,5,4,3,3,acc
322,4,2,5,6,1,1,unacc
323,4,2,5,6,1,2,unacc
324,4,2,5,6,1,3,acc
325,4,2,5,6,2,1,unacc
326,4,2,5,6,2,2,acc
327,4,2,5,6,2,3,acc
328,4,2,5,6,3,1,unacc
329,4,2,5,6,3,2,acc
330,4,2,5,6,3,3,acc
331,4,1,2,2,1,1,unacc
332,4,1,2,2,1,2,unacc
333,4,1,2,2,1,3,unacc
334,4,1,2,2,2,1,unacc
335,4,1,2,2,2,2,unacc
336,4,1,2,2,2,3,unacc
337,4,1,2,2,3,1,unacc
338,4,1,2,2,3,2,unacc
339,4,1,2,2,3,3,unacc
340,4,1,2,4,1,1,unacc
341,4,1,2,4,1,2,unacc
342,4,1,2,4,1,3,acc
343,4,1,2,4,1,3,acc
344,4,1,2,4,2,1,unacc
345,4,1,2,4,2,2,unacc
346,4,1,2,4,2,3,acc
347,4,1,2,4,2,3,acc
348,4,1,2,4,3,1,unacc
349,4,1,2,4,3,2,acc
350,4,1,2,4,3,3,acc
351,4,1,2,6,1,1,unacc
352,4,1,2,6,1,2,unacc
353,4,1,2,6,1,3,unacc
354,4,1,2,6,2,1,unacc
355,4,1,2,6,2,2,unacc
356,4,1,2,6,2,3,acc
357,4,1,2,6,3,1,unacc
358,4,1,2,6,3,2,acc
359,4,1,2,6,3,3,acc
360,4,1,3,2,1,1,unacc
361,4,1,3,2,1,2,unacc
362,4,1,3,2,1,3,unacc
363,4,1,3,2,2,1,unacc
364,4,1,3,2,2,2,unacc
365,4,1,3,2,2,3,unacc
366,4,1,3,2,3,1,unacc
367,4,1,3,2,3,2,unacc
368,4,1,3,2,3,3,unacc
369,4,1,3,4,1,1,unacc
370,4,1,3,4,1,2,unacc
371,4,1,3,4,1,3,acc
372,4,1,3,4,2,1,unacc
373,4,1,3,4,2,2,unacc
374,4,1,3,4,2,3,acc
375,4,1,3,4,3,1,unacc
376,4,1,3,4,3,2,acc
377,4,1,3,4,3,3,acc
378,4,1,3,6,1,1,unacc
379,4,1,3,6,1,2,unacc
380,4,1,3,6,1,3,acc
381,4,1,3,6,2,1,unacc
382,4,1,3,6,2,2,acc
383,4,1,3,6,2,2,acc
384,4,1,3,6,2,3,acc
385,4,1,3,6,3,1,unacc
386,4,1,3,6,3,2,acc
387,4,1,3,6,3,3,acc
388,4,1,4,2,1,1,unacc
389,4,1,4,2,1,2,unacc
390,4,1,4,2,1,3,unacc
391,4,1,4,2,2,1,unacc
392,4,1,4,2,2,2,unacc
393,4,1,4,2,2,3,unacc
394,4,1,4,2,3,1,unacc
395,4,1,4,2,3,2,unacc
396,4,1,4,2,3,3,unacc
397,4,1,4,4,1,1,unacc
398,4,1,4,4,1,2,unacc
399,4,1,4,4,1,3,acc
400,4,1,4,4,2,1,unacc
401,4,1,4,4,2,2,acc
402,4,1,4,4,2,3,acc
403,4,1,4,4,3,1,unacc
404,4,1,4,4,3,2,acc
405,4,1,4,4,3,3,acc
406,4,1,4,6,1,1,unacc
407,4,1,4,6,1,2,unacc
408,4,1,4,6,1,3,acc
409,4,1,4,6,2,1,unacc
410,4,1,4,6,2,2,acc
411,4,1,4,6,2,3,acc
412,4,1,4,6,3,1,unacc
413,4,1,4,6,3,2,acc
414,4,1,4,6,3,3,acc
415,4,1,5,2,1,1,unacc
416,4,1,5,2,1,2,unacc
417,4,1,5,2,1,3,unacc
418,4,1,5,2,2,1,unacc
419,4,1,5,2,2,2,unacc
420,4,1,5,2,2,3,unacc
421,4,1,5,2,3,1,unacc
422,4,1,5,2,3,2,unacc
423,4,1,5,2,3,3,unacc
424,4,1,5,4,1,1,unacc
425,4,1,5,4,1,2,unacc
426,4,1,5,4,1,3,acc
427,4,1,5,4,2,1,unacc
428,4,1,5,4,2,2,acc
429,4,1,5,4,2,2,acc
430,4,1,5,4,2,3,acc
431,4,1,5,4,3,1,unacc
432,4,1,5,4,3,2,acc
433,4,1,5,4,3,3,acc
434,4,1,5,6,1,1,unacc
435,4,1,5,6,1,2,unacc
436,4,1,5,6,1,3,acc
437,4,1,5,6,2,1,unacc
438,4,1,5,6,2,2,acc
439,4,1,5,6,2,3,acc
440,4,1,5,6,3,1,unacc
441,4,1,5,6,3,2,acc
442,4,1,5,6,3,3,acc
443,3,4,2,2,1,1,unacc
444,3,4,2,2,1,2,unacc
445,3,4,2,2,1,3,unacc
446,3,4,2,2,2,1,unacc
447,3,4,2,2,2,2,unacc
448,3,4,2,2,2,3,unacc
449,3,4,2,2,3,1,unacc
450,3,4,2,2,3,2,unacc
451,3,4,2,2,3,3,unacc
452,3,4,2,4,1,1,unacc
453,3,4,2,4,1,2,unacc
454,3,4,2,4,1,3,unacc
455,3,4,2,4,2,1,unacc
456,3,4,2,4,2,2,unacc
457,3,4,2,4,2,3,unacc
458,3,4,2,4,3,1,unacc
459,3,4,2,4,3,2,unacc
460,3,4,2,4,3,3,unacc
461,3,4,2,6,1,1,unacc
462,3,4,2,6,1,2,unacc
463,3,4,2,6,1,3,unacc
464,3,4,2,6,2,1,unacc
465,3,4,2,6,2,2,unacc
466,3,4,2,6,2,3,unacc
467,3,4,2,6,3,1,unacc
468,3,4,2,6,3,2,unacc
469,3,4,2,6,3,3,unacc
470,3,4,3,2,1,1,unacc
471,3,4,3,2,1,2,unacc
472,3,4,3,2,1,3,unacc
473,3,4,3,2,2,1,unacc
474,3,4,3,2,2,2,unacc
475,3,4,3,2,2,3,unacc
476,3,4,3,2,3,1,unacc
477,3,4,3,2,3,2,unacc
478,3,4,3,2,3,3,unacc
479,3,4,3,4,1,1,unacc
480,3,4,3,4,1,2,unacc
481,3,4,3,4,1,3,unacc
482,3,4,3,4,2,1,unacc
483,3,4,3,4,2,2,unacc
484,3,4,3,4,2,3,unacc
485,3,4,3,4,3,1,unacc
486,3,4,3,4,3,2,unacc
487,3,4,3,4,3,3,unacc
488,3,4,3,6,1,1,unacc
489,3,4,3,6,1,2,unacc
490,3,4,3,6,1,3,unacc
491,3,4,3,6,2,1,unacc
492,3,4,3,6,2,2,unacc
493,3,4,3,6,2,3,unacc
494,3,4,3,6,3,1,unacc
495,3,4,3,6,3,2,unacc
496,3,4,3,6,3,3,unacc
497,3,4,4,2,1,1,unacc
498,3,4,4,2,1,2,unacc
499,3,4,4,2,1,3,unacc
500,3,4,4,2,2,1,unacc
501,3,4,4,2,2,2,unacc
502,3,4,4,2,2,3,unacc
503,3,4,4,2,3,1,unacc
504,3,4,4,2,3,2,unacc
505,3,4,4,2,3,3,unacc
506,3,4,4,4,1,1,unacc
507,3,4,4,4,1,2,unacc
508,3,4,4,4,1,3,unacc
509,3,4,4,4,2,1,unacc
510,3,4,4,4,2,2,unacc
511,3,4,4,4,2,3,unacc
512,3,4,4,4,3,1,unacc
513,3,4,4,4,3,2,unacc
514,3,4,4,4,3,3,unacc
515,3,4,4,6,1,1,unacc
516,3,4,4,6,1,2,unacc
517,3,4,4,6,1,3,unacc
518,3,4,4,6,2,1,unacc
519,3,4,4,6,2,2,unacc
520,3,4,4,6,2,3,unacc
521,3,4,4,6,3,1,unacc
522,3,4,4,6,3,2,unacc
523,3,4,4,6,3,3,unacc
524,3,4,5,2,1,1,unacc
525,3,4,5,2,1,2,unacc
526,3,4,5,2,1,3,unacc
527,3,4,5,2,2,1,unacc
528,3,4,5,2,2,2,unacc
529,3,4,5,2,2,3,unacc
530,3,4,5,2,3,1,unacc
531,3,4,5,2,3,2,unacc
532,3,4,5,2,3,3,unacc
533,3,4,5,4,1,1,unacc
534,3,4,5,4,1,2,unacc
535,3,4,5,4,1,3,unacc
536,3,4,5,4,2,1,unacc
537,3,4,5,4,2,2,unacc
538,3,4,5,4,2,3,unacc
539,3,4,5,4,3,1,unacc
540,3,4,5,4,3,2,unacc
541,3,4,5,4,3,3,unacc
542,3,4,5,6,1,1,unacc
543,3,4,5,6,1,2,unacc
544,3,4,5,6,1,3,unacc
545,3,4,5,6,2,1,unacc
546,3,4,5,6,2,2,unacc
547,3,4,5,6,2,3,unacc
548,3,4,5,6,3,1,unacc
549,3,4,5,6,3,2,unacc
550,3,4,5,6,3,3,unacc
551,3,3,2,2,1,1,unacc
552,3,3,2,2,1,2,unacc
553,3,3,2,2,1,3,unacc
554,3,3,2,2,2,1,unacc
555,3,3,2,2,2,2,unacc
556,3,3,2,2,2,3,unacc
557,3,3,2,2,3,1,unacc
558,3,3,2,2,3,2,unacc
559,3,3,2,2,3,3,unacc
560,3,3,2,4,1,1,unacc
561,3,3,2,4,1,2,unacc
562,3,3,2,4,1,3,acc
563,3,3,2,4,2,1,unacc
564,3,3,2,4,2,2,unacc
565,3,3,2,4,2,3,acc
566,3,3,2,4,3,1,unacc
567,3,3,2,4,3,2,acc
568,3,3,2,4,3,3,acc
569,3,3,2,6,1,1,unacc
570,3,3,2,6,1,2,unacc
571,3,3,2,6,1,3,unacc
572,3,3,2,6,2,1,unacc
573,3,3,2,6,2,2,unacc
574,3,3,2,6,2,3,acc
575,3,3,2,6,3,1,unacc
576,3,3,2,6,3,2,acc
577,3,3,2,6,3,3,acc
578,3,3,3,2,1,1,unacc
579,3,3,3,2,1,2,unacc
580,3,3,3,2,1,3,unacc
581,3,3,3,2,2,1,unacc
582,3,3,3,2,2,2,unacc
583,3,3,3,2,2,3,unacc
584,3,3,3,2,3,1,unacc
585,3,3,3,2,3,2,unacc
586,3,3,3,2,3,3,unacc
587,3,3,3,4,1,1,unacc
588,3,3,3,4,1,2,unacc
589,3,3,3,4,1,3,acc
590,3,3,3,4,2,1,unacc
591,3,3,3,4,2,2,unacc
592,3,3,3,4,2,3,acc
593,3,3,3,4,3,1,unacc
594,3,3,3,4,3,2,acc
595,3,3,3,4,3,3,acc
596,3,3,3,6,1,1,unacc
597,3,3,3,6,1,2,unacc
598,3,3,3,6,1,3,acc
599,3,3,3,6,2,1,unacc
600,3,3,3,6,2,2,acc
601,3,3,3,6,2,3,acc
602,3,3,3,6,3,1,unacc
603,3,3,3,6,3,2,acc
604,3,3,3,6,3,3,acc
605,3,3,4,2,1,1,unacc
606,3,3,4,2,1,2,unacc
607,3,3,4,2,1,3,unacc
608,3,3,4,2,2,1,unacc
609,3,3,4,2,2,2,unacc
610,3,3,4,2,2,3,unacc
611,3,3,4,2,3,1,unacc
612,3,3,4,2,3,2,unacc
613,3,3,4,2,3,3,unacc
614,3,3,4,4,1,1,unacc
615,3,3,4,4,1,2,unacc
616,3,3,4,4,1,3,acc
617,3,3,4,4,2,1,unacc
618,3,3,4,4,2,2,acc
619,3,3,4,4,2,3,acc
620,3,3,4,4,3,1,unacc
621,3,3,4,4,3,2,acc
622,3,3,4,4,3,3,acc
623,3,3,4,6,1,1,unacc
624,3,3,4,6,1,2,unacc
625,3,3,4,6,1,3,acc
626,3,3,4,6,2,1,unacc
627,3,3,4,6,2,2,acc
628,3,3,4,6,2,3,acc
629,3,3,4,6,3,1,unacc
630,3,3,4,6,3,2,acc
631,3,3,4,6,3,3,acc
632,3,3,5,2,1,1,unacc
633,3,3,5,2,1,2,unacc
634,3,3,5,2,1,3,unacc
635,3,3,5,2,2,1,unacc
636,3,3,5,2,2,2,unacc
637,3,3,5,2,2,3,unacc
638,3,3,5,2,3,1,unacc
639,3,3,5,2,3,2,unacc
640,3,3,5,2,3,3,unacc
641,3,3,5,4,1,1,unacc
642,3,3,5,4,1,2,unacc
643,3,3,5,4,1,3,acc
644,3,3,5,4,2,1,unacc
645,3,3,5,4,2,2,acc
646,3,3,5,4,2,3,acc
647,3,3,5,4,3,1,unacc
648,3,3,5,4,3,2,acc
649,3,3,5,4,3,3,acc
650,3,3,5,6,1,1,unacc
651,3,3,5,6,1,2,unacc
652,3,3,5,6,1,3,acc
653,3,3,5,6,2,1,unacc
654,3,3,5,6,2,2,acc
655,3,3,5,6,2,3,acc
656,3,3,5,6,3,1,unacc
657,3,3,5,6,3,2,acc
658,3,3,5,6,3,3,acc
659,3,2,2,2,1,1,unacc
660,3,2,2,2,1,2,unacc
661,3,2,2,2,1,3,unacc
662,3,2,2,2,2,1,unacc
663,3,2,2,2,2,2,unacc
664,3,2,2,2,2,3,unacc
665,3,2,2,2,3,1,unacc
666,3,2,2,2,3,2,unacc
667,3,2,2,2,3,3,unacc
668,3,2,2,4,1,1,unacc
669,3,2,2,4,1,2,unacc
670,3,2,2,4,1,3,acc
671,3,2,2,4,2,1,unacc
672,3,2,2,4,2,2,unacc
673,3,2,2,4,2,3,acc
674,3,2,2,4,3,1,unacc
675,3,2,2,4,3,2,acc
676,3,2,2,4,3,3,acc
677,3,2,2,6,1,1,unacc
678,3,2,2,6,1,2,unacc
679,3,2,2,6,1,3,unacc
680,3,2,2,6,2,1,unacc
681,3,2,2,6,2,2,unacc
682,3,2,2,6,2,3,acc
683,3,2,2,6,3,1,unacc
684,3,2,2,6,3,2,acc
685,3,2,2,6,3,3,acc
686,3,2,3,2,1,1,unacc
687,3,2,3,2,1,2,unacc
688,3,2,3,2,1,3,unacc
689,3,2,3,2,2,1,unacc
690,3,2,3,2,2,2,unacc
691,3,2,3,2,2,3,unacc
692,3,2,3,2,3,1,unacc
693,3,2,3,2,3,2,unacc
694,3,2,3,2,3,3,unacc
695,3,2,3,4,1,1,unacc
696,3,2,3,4,1,2,unacc
697,3,2,3,4,1,3,acc
698,3,2,3,4,2,1,unacc
699,3,2,3,4,2,2,unacc
700,3,2,3,4,2,3,acc
701,3,2,3,4,3,1,unacc
702,3,2,3,4,3,2,acc
703,3,2,3,4,3,3,acc
704,3,2,3,6,1,1,unacc
705,3,2,3,6,1,2,unacc
706,3,2,3,6,1,3,acc
707,3,2,3,6,2,1,unacc
708,3,2,3,6,2,2,acc
709,3,2,3,6,2,3,acc
710,3,2,3,6,3,1,unacc
711,3,2,3,6,3,2,acc
712,3,2,3,6,3,3,acc
713,3,2,4,2,1,1,unacc
714,3,2,4,2,1,2,unacc
715,3,2,4,2,1,3,unacc
716,3,2,4,2,2,1,unacc
717,3,2,4,2,2,2,unacc
718,3,2,4,2,2,3,unacc
719,3,2,4,2,3,1,unacc
720,3,2,4,2,3,2,unacc
721,3,2,4,2,3,3,unacc
722,3,2,4,4,1,1,unacc
723,3,2,4,4,1,2,unacc
724,3,2,4,4,1,3,acc
725,3,2,4,4,2,1,unacc
726,3,2,4,4,2,2,acc
727,3,2,4,4,2,3,acc
728,3,2,4,4,3,1,unacc
729,3,2,4,4,3,2,acc
730,3,2,4,4,3,3,acc
731,3,2,4,6,1,1,unacc
732,3,2,4,6,1,2,unacc
733,3,2,4,6,1,3,acc
734,3,2,4,6,2,1,unacc
735,3,2,4,6,2,2,acc
736,3,2,4,6,2,3,acc
737,3,2,4,6,3,1,unacc
738,3,2,4,6,3,2,acc
739,3,2,4,6,3,3,acc
740,3,2,5,2,1,1,unacc
741,3,2,5,2,1,2,unacc
742,3,2,5,2,1,3,unacc
743,3,2,5,2,2,1,unacc
744,3,2,5,2,2,2,unacc
745,3,2,5,2,2,3,unacc
746,3,2,5,2,3,1,unacc
747,3,2,5,2,3,2,unacc
748,3,2,5,2,3,3,unacc
749,3,2,5,4,1,1,unacc
750,3,2,5,4,1,2,unacc
751,3,2,5,4,1,3,acc
752,3,2,5,4,2,1,unacc
753,3,2,5,4,2,2,acc
754,3,2,5,4,2,3,acc
755,3,2,5,4,3,1,unacc
756,3,2,5,4,3,2,acc
757,3,2,5,4,3,3,acc
758,3,2,5,6,1,1,unacc
759,3,2,5,6,1,2,unacc
760,3,2,5,6,1,3,acc
761,3,2,5,6,2,1,unacc
762,3,2,5,6,2,2,acc
763,3,2,5,6,2,3,acc
764,3,2,5,6,3,1,unacc
765,3,2,5,6,3,2,acc
766,3,2,5,6,3,3,acc
767,3,1,2,2,1,1,unacc
768,3,1,2,2,1,2,unacc
769,3,1,2,2,1,3,unacc
770,3,1,2,2,2,1,unacc
771,3,1,2,2,2,2,unacc
772,3,1,2,2,2,3,unacc
773,3,1,2,2,3,1,unacc
774,3,1,2,2,3,2,unacc
775,3,1,2,2,3,3,unacc
776,3,1,2,4,1,1,unacc
777,3,1,2,4,1,2,unacc
778,3,1,2,4,1,3,acc
779,3,1,2,4,2,1,unacc
780,3,1,2,4,2,2,unacc
781,3,1,2,4,2,3,acc
782,3,1,2,4,3,1,unacc
